시설명,종류,주소,도로명,지번주소,위도,경도,법정동
송원초 놀이시설1,학교,서울특별시 성동구 동일로43길 9 (송정동),서울특별시 성동구 동일로43길 9 (송정동),서울특별시 성동구 송정동 72-8 송원초등학교,37.55406815,127.0693966,서울특별시 성동구 송정동
옥정초 놀이시설,학교,서울특별시 성동구 한림말길 43 (옥수동),서울특별시 성동구 한림말길 43 (옥수동),서울특별시 성동구 옥수동 233-16 옥정초등학교,37.54179072,127.0155024,서울특별시 성동구 옥수동
동호초 놀이시설,학교,서울특별시 성동구 동호로5길 131 (옥수동),서울특별시 성동구 동호로5길 131 (옥수동),서울특별시 성동구 옥수동 556-1 서울방송고등학교,37.54694112,127.0101252,서울특별시 성동구 옥수동
용답초 놀이시설,학교,서울특별시 성동구 용답25길 1 (용답동),서울특별시 성동구 용답25길 1 (용답동),서울특별시 성동구 용답동 29 용답초등학교,37.56076337,127.0534914,서울특별시 성동구 용답동
응봉초 놀이시설,학교,서울특별시 성동구 독서당로62길 28 (응봉동),서울특별시 성동구 독서당로62길 28 (응봉동),서울특별시 성동구 응봉동 193 응봉초등학교,37.55086053,127.0339482,서울특별시 성동구 응봉동
무학초 놀이시설1,학교,서울특별시 성동구 무학봉15길 21 (하왕십리동),서울특별시 성동구 무학봉15길 21 (하왕십리동),서울특별시 성동구 하왕십리동 950-1 무학초등학교,37.5629618,127.0296058,서울특별시 성동구 하왕십리동
무학초 놀이시설2,학교,서울특별시 성동구 무학봉15길 21 (하왕십리동),서울특별시 성동구 무학봉15길 21 (하왕십리동),서울특별시 성동구 하왕십리동 950-1 무학초등학교,37.5629618,127.0296058,서울특별시 성동구 하왕십리동
숭신초 놀이시설,학교,서울특별시 성동구 마장로 161 (하왕십리동),서울특별시 성동구 마장로 161 (하왕십리동),서울특별시 성동구 하왕십리동 1068 서울숭신초등학교,37.5677356,127.0278231,서울특별시 성동구 하왕십리동
행당초 놀이시설,학교,서울특별시 성동구 고산자로8길 6 (행당동),서울특별시 성동구 고산자로8길 6 (행당동),서울특별시 성동구 행당동 320-60 행당초등학교,37.55653836,127.0346485,서울특별시 성동구 행당동
행현초 놀이시설,학교,서울특별시 성동구 행당로 95 (행당동),서울특별시 성동구 행당로 95 (행당동),서울특별시 성동구 행당동 317-18 행현초등학교,37.55776131,127.029531,서울특별시 성동구 행당동
서울미아초등학교 놀이터,학교,서울특별시 성북구 삼양로 77,서울특별시 성북구 삼양로 77 (길음동),서울특별시 성북구 길음동 1168 서울미아초등학교,37.61044978,127.0217344,서울특별시 성북구 길음동
